CED_CODE_2016,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
CED501,33,1950,663,350,1775,0.8,1528,2.7
CED502,33,1900,660,350,1726,0.8,1537,2.8
CED503,40,1950,594,320,1626,0.7,1337,2.6
CED504,35,1993,653,380,1793,0.8,1617,2.9
CED505,38,2500,912,400,2782,0.8,2046,2.4
CED506,39,1733,989,190,1974,0.8,1546,2.6
CED507,39,1757,643,310,1646,0.7,1357,2.5
CED508,37,2100,758,380,2077,0.8,1703,2.5
CED509,38,1950,672,350,1805,0.8,1520,2.7
CED510,39,2100,769,410,2263,0.7,1994,2.8
CED511,40,1517,692,220,1642,0.8,1318,2.4
CED512,33,2071,714,360,1857,0.8,1653,2.8
CED513,36,2040,822,380,2141,0.9,1688,2.3
CED514,36,1983,715,350,1847,0.8,1471,2.4
CED515,34,2000,711,360,1897,0.8,1521,2.4
CED516,40,2142,705,400,2156,0.8,1792,2.7
CED597,43,0,2648,0,0,0,0,0
CED601,40,1300,558,220,1372,0.8,1051,2.3
CED602,43,1153,527,200,1276,0.8,983,2.3
CED603,39,1408,641,265,1622,0.8,1222,2.3
CED604,42,1450,643,270,1572,0.8,1262,2.4
CED605,45,1199,512,205,1228,0.8,981,2.4
CED697,47,0,1280,0,0,0,0,0
CED701,35,2000,691,100,1634,1.2,1622,3.1
CED702,34,2167,1027,420,2381,0.9,2149,2.7
CED797,48,0,1329,0,0,0,0,0
CED801,37,2058,1016,390,2498,0.8,2084,2.5
CED802,33,2058,972,377,2384,0.9,2037,2.6
CED897,25,0,537,0,0,0,0,0
CED997,37,0,2125,0,0,0,0,0
